Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2020,Ratio of land consumption rate to population growth rate [11.3.1],Nairobi,City,Percent,KE_NBO,1.33
2020,Ratio of land consumption rate to population growth rate [11.3.1],Mombasa,City,Percent,KE_MBA,2.67
2020,Ratio of land consumption rate to population growth rate [11.3.1],Kisumu,City,Percent,KE_KIS,3.0
2020,Ratio of land consumption rate to population growth rate [11.3.1],Nakuru,City,Percent,KE_NUU,3.0
