Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2016,ER_H20_LCMGM,,PT,A,0,,17.0
2018,ER_H20_LCMGM,,PT,A,0,,59.0
2019,ER_H20_LCMGM,,PT,A,0,,60.0
2020,ER_H20_LCMGM,,PT,A,0,,62.3
