Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,Plant genetic resources accessions stored ex situ (number) [2.5.1],,Number,,50323
2019,Plant genetic resources accessions stored ex situ (number) [2.5.1],,Number,,51405
