Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2014,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]",,Kenyan Shillings,Normal value,Units,,274.6
2015,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]",,Kenyan Shillings,Normal value,Units,,296.6
2016,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]",,Kenyan Shillings,Normal value,Units,,338.8
2017,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]",,Kenyan Shillings,Normal value,Units,,284.8
2018,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]",,Kenyan Shillings,Normal value,Units,,310.9
2019,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]",,Kenyan Shillings,Normal value,Units,,306.6
2020,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]",,Kenyan Shillings,Normal value,Units,,299.0
2021,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]",,Kenyan Shillings,Normal value,Units,,136.8
2022,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]",,Kenyan Shillings,Normal value,Units,,174.0
2023,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]",,Kenyan Shillings,Normal value,Units,,384.9
2024,"Total expenditure per capita spent on cultural and natural heritage, public and private [11.4.1]",,Kenyan Shillings,Normal value,Units,,388.8
