Year,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2014,Under-five mortality rate [3.2.1],,,,"Per 1,000 live births",,52
2019,Under-five mortality rate [3.2.1],,,,"Per 1,000 live births",,52
2022,Under-five mortality rate [3.2.1],,,,"Per 1,000 live births",,41
2014,Under-five mortality rate [3.2.1],,,Rural,"Per 1,000 live births",,56
2019,Under-five mortality rate [3.2.1],,,Rural,"Per 1,000 live births",,42
2022,Under-five mortality rate [3.2.1],,,Rural,"Per 1,000 live births",,41
2014,Under-five mortality rate [3.2.1],,,Urban,"Per 1,000 live births",,57
2019,Under-five mortality rate [3.2.1],,,Urban,"Per 1,000 live births",,50
2022,Under-five mortality rate [3.2.1],,,Urban,"Per 1,000 live births",,41
2022,Under-five mortality rate [3.2.1],,Female,,"Per 1,000 live births",,38
2014,Under-five mortality rate [3.2.1],,Male,,"Per 1,000 live births",,57
2019,Under-five mortality rate [3.2.1],,Male,,"Per 1,000 live births",,50
2022,Under-five mortality rate [3.2.1],,Male,,"Per 1,000 live births",,45
