Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2016,Proportion of the rural population who live within 2 km of an all-season road [9.1.1],,Percent,Normal value,Units,,61.4
2019,Proportion of the rural population who live within 2 km of an all-season road [9.1.1],,Percent,Normal value,Units,,78.6
