Year,SERIES,Reference area,Sex,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,SOURCE_DETAIL,GeoCode,Value
2014,Proportion of population aged 18-29 years who experienced sexual violence by age 18 [16.2.3],,Female,Percent,Normal value,Units,2022,KDHS,,9.5
2022,Proportion of population aged 18-29 years who experienced sexual violence by age 18 [16.2.3],,Female,Percent,Normal value,Units,2022,KDHS,,4.9
2022,Proportion of population aged 18-29 years who experienced sexual violence by age 18 [16.2.3],,Male,Percent,Normal value,Units,2022,KDHS,,2.6
