Year,Observation-level footnotes,Source details,SERIES,Age,Occupation,Disability status,UNIT_MEASURE,Value
2023,,"Judiciary, SOJAR Report",Ratio for female members of judiciary compared to the  National distribution,,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,1.0838
2020,,"Judiciary, SOJAR Report",Ratio for female members of judiciary compared to the  National distribution,18 to 44 years old,Judges,,Ratio,0.258
2021,,"Judiciary, SOJAR Report",Ratio for female members of judiciary compared to the  National distribution,18 to 44 years old,Judges,,Ratio,0.1951
2022,,"Judiciary, SOJAR Report",Ratio for female members of judiciary compared to the  National distribution,18 to 44 years old,Judges,,Ratio,0.373
2023,,"Judiciary, SOJAR Report",Ratio for female members of judiciary compared to the  National distribution,18 to 44 years old,Judges,,Ratio,0.7647
2020,,"Judiciary, SOJAR Report",Ratio for female members of judiciary compared to the  National distribution,18 to 44 years old,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,0.0
2021,,"Judiciary, SOJAR Report",Ratio for female members of judiciary compared to the  National distribution,18 to 44 years old,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,0.0
2022,,"Judiciary, SOJAR Report",Ratio for female members of judiciary compared to the  National distribution,18 to 44 years old,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,0.0
2023,,"Judiciary, SOJAR Report",Ratio for female members of judiciary compared to the  National distribution,18 to 44 years old,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,0.1147
2020,,"Judiciary, SOJAR Report",Ratio for female members of judiciary compared to the  National distribution,,Judges,Persons with disability,Ratio,0.6898
2021,,"Judiciary, SOJAR Report",Ratio for female members of judiciary compared to the  National distribution,,Judges,Persons with disability,Ratio,0.7915
2022,,"Judiciary, SOJAR Report",Ratio for female members of judiciary compared to the  National distribution,,Judges,Persons with disability,Ratio,1.0918
2023,,"Judiciary, SOJAR Report",Ratio for female members of judiciary compared to the  National distribution,,Judges,Persons with disability,Ratio,0.9034
2020,,"Judiciary, SOJAR Report",Ratio for female members of judiciary compared to the  National distribution,,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,Persons with disability,Ratio,0.0
2021,,"Judiciary, SOJAR Report",Ratio for female members of judiciary compared to the  National distribution,,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,Persons with disability,Ratio,0.0
2022,,"Judiciary, SOJAR Report",Ratio for female members of judiciary compared to the  National distribution,,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,Persons with disability,Ratio,0.0
2023,,"Judiciary, SOJAR Report",Ratio for female members of judiciary compared to the  National distribution,,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,Persons with disability,Ratio,0.0
