Year,SERIES,Value
2014,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],12.7
2016,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],8.6
2018,Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],8.0
2014,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],6.2
2016,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],4.8
2018,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],4.9
