Year,Unit multiplier,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Observation-level footnotes,Value
2023,Thousands,"Passenger volumes, by mode of transport (000 Passenger)",Water,Number,Data collected from Kenya seaward border points for foreigners,3390.0
2014,Thousands,"Freight volumes, by mode of transport (000 Passenger)",Water,Metric Tons,"Data from Mombasa, Lamu and Kisumu ports",24875.0
2015,Thousands,"Freight volumes, by mode of transport (000 Passenger)",Water,Metric Tons,"Data from Mombasa, Lamu and Kisumu ports",26732.0
2016,Thousands,"Freight volumes, by mode of transport (000 Passenger)",Water,Metric Tons,"Data from Mombasa, Lamu and Kisumu ports",27384.0
2017,Thousands,"Freight volumes, by mode of transport (000 Passenger)",Water,Metric Tons,"Data from Mombasa, Lamu and Kisumu ports",30245.0
2018,Thousands,"Freight volumes, by mode of transport (000 Passenger)",Water,Metric Tons,"Data from Mombasa, Lamu and Kisumu ports",30934.0
2019,Thousands,"Freight volumes, by mode of transport (000 Passenger)",Water,Metric Tons,"Data from Mombasa, Lamu and Kisumu ports",34458.0
2020,Thousands,"Freight volumes, by mode of transport (000 Passenger)",Water,Metric Tons,"Data from Mombasa, Lamu and Kisumu ports",34162.0
2021,Thousands,"Freight volumes, by mode of transport (000 Passenger)",Water,Metric Tons,"Data from Mombasa, Lamu and Kisumu ports",34605.2
2022,Thousands,"Freight volumes, by mode of transport (000 Passenger)",Water,Metric Tons,"Data from Mombasa, Lamu and Kisumu ports",33939.0
2023,Thousands,"Freight volumes, by mode of transport (000 Passenger)",Water,Metric Tons,"Data from Mombasa, Lamu and Kisumu ports",36143.0
2014,Millions,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,Figures represent value of output of passengers/ freight,313031.0
2015,Millions,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,Figures represent value of output of passengers/ freight,322161.0
2016,Millions,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,Figures represent value of output of passengers/ freight,333114.0
2017,Millions,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,Figures represent value of output of passengers/ freight,727871.0
2018,Millions,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,Figures represent value of output of passengers/ freight,835109.0
2019,Millions,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,Figures represent value of output of passengers/ freight,926650.0
2020,Millions,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,Figures represent value of output of passengers/ freight,928784.0
2021,Millions,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,Figures represent value of output of passengers/ freight,993304.0
2022,Millions,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,Figures represent value of output of passengers/ freight,1263157.0
2023,Millions,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,Figures represent value of output of passengers/ freight,1429139.0
