Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,GeoCode,Value
2015,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",,Per million population,Normal value,Units,2021,,3151
2018,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",,Per million population,Normal value,Units,2021,,3019
2019,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",,Per million population,Normal value,Units,2021,,2759
2021,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",,Per million population,Normal value,Units,2021,,2399
2015,"Number of deaths, missing persons and directly affected persons attributed to disasters",,Number,Normal value,Units,2024,,1500000
2018,"Number of deaths, missing persons and directly affected persons attributed to disasters",,Number,Normal value,Units,2024,,1401058
2019,"Number of deaths, missing persons and directly affected persons attributed to disasters",,Number,Normal value,Units,2024,,1313374
2021,"Number of deaths, missing persons and directly affected persons attributed to disasters",,Number,Normal value,Units,2024,,1192393
2023,"Number of deaths, missing persons and directly affected persons attributed to disasters",,Number,Normal value,Units,2024,,655327
2024,"Number of deaths, missing persons and directly affected persons attributed to disasters",,Number,Normal value,Units,2024,,471238
2018,Number of households displaced as a result of disaster,,Number,Normal value,Units,2021,,269515
2019,Number of households displaced as a result of disaster,,Number,Normal value,Units,2021,,396855
2021,Number of households displaced as a result of disaster,,Number,Normal value,Units,2021,,158472
2018,Number of households affected by disaster,,Number,Normal value,Units,2021,,1131300
2019,Number of households affected by disaster,,Number,Normal value,Units,2021,,916115
2021,Number of households affected by disaster,,Number,Normal value,Units,2021,,1033764
2018,Number of persons displaced attributed to disasters,,Number,Normal value,Units,2024,,269515
2019,Number of persons displaced attributed to disasters,,Number,Normal value,Units,2024,,396855
2021,Number of persons displaced attributed to disasters,,Number,Normal value,Units,2024,,158472
2023,Number of persons displaced attributed to disasters,,Number,Normal value,Units,2024,,109581
2024,Number of persons displaced attributed to disasters,,Number,Normal value,Units,2024,,58641
2018,Number of directly affected persons attributed to disasters,,Number,Normal value,Units,2024,,1131300
2019,Number of directly affected persons attributed to disasters,,Number,Normal value,Units,2024,,916115
2021,Number of directly affected persons attributed to disasters,,Number,Normal value,Units,2024,,1033764
2023,Number of directly affected persons attributed to disasters,,Number,Normal value,Units,2024,,545595
2024,Number of directly affected persons attributed to disasters,,Number,Normal value,Units,2024,,412263
2018,"Number of deaths from disaster per 100,000 people",,Number,Normal value,Units,2021,,187
2019,"Number of deaths from disaster per 100,000 people",,Number,Normal value,Units,2021,,305
2021,"Number of deaths from disaster per 100,000 people",,Number,Normal value,Units,2021,,139
2018,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",,Number,Normal value,Units,2024,,56
2019,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",,Number,Normal value,Units,2024,,82
2021,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",,Number,Normal value,Units,2024,,17
2024,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",,Number,Normal value,Units,2024,,188
2019,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",,Number,Normal value,Units,2021,,17
2021,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",,Number,Normal value,Units,2021,,1
2018,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",,Number,Normal value,Units,2024,,187
2019,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",,Number,Normal value,Units,2024,,305
2021,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",,Number,Normal value,Units,2024,,139
2023,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",,Number,Normal value,Units,2024,,151
2024,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",,Number,Normal value,Units,2024,,146
