Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2019,Indicator of Food Price Anomalies - Sorghum,,Index,,1.372354
2020,Indicator of Food Price Anomalies - Sorghum,,Index,,-0.346259
2021,Indicator of Food Price Anomalies - Sorghum,,Index,,-1.350883
2022,Indicator of Food Price Anomalies - Sorghum,,Index,,-0.30607
2023,Indicator of Food Price Anomalies - Sorghum,,Index,,0.596598
2024,Indicator of Food Price Anomalies - Sorghum,,Index,,9.2e-05
