Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2021,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,,109.9
2022,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,,117.9
2023,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,,139.9
2024,"Official exchange rate (LCU per US$, period average annual)",,Kenyan Shillings to US Dollars,,134.8
2014,Commodity Prices (Export/import),,Index,,73.1
2015,Commodity Prices (Export/import),,Index,,76.0
2016,Commodity Prices (Export/import),,Index,,78.8
2017,Commodity Prices (Export/import),,Index,,75.5
2018,Commodity Prices (Export/import),,Index,,68.0
2019,Commodity Prices (Export/import),,Index,,68.0
2020,Commodity Prices (Export/import),,Index,,74.9
2021,Commodity Prices (Export/import),,Index,,73.3
2022,Commodity Prices (Export/import),,Index,,75.3
2023,Commodity Prices (Export/import),,Index,,71.4
2024,Commodity Prices (Export/import),,Index,,67.9
2014,Annual broad money growth (%) [17.13.1],,Percent,,16.1
2015,Annual broad money growth (%) [17.13.1],,Percent,,14.1
2016,Annual broad money growth (%) [17.13.1],,Percent,,4.0
2017,Annual broad money growth (%) [17.13.1],,Percent,,9.6
2018,Annual broad money growth (%) [17.13.1],,Percent,,10.1
2019,Annual broad money growth (%) [17.13.1],,Percent,,5.6
2020,Annual broad money growth (%) [17.13.1],,Percent,,13.2
2021,Annual broad money growth (%) [17.13.1],,Percent,,6.1
2022,Annual broad money growth (%) [17.13.1],,Percent,,7.5
2023,Annual broad money growth (%) [17.13.1],,Percent,,19.9
2024,Annual broad money growth (%) [17.13.1],,Percent,,1.0
2015,Broad money to total reserves ratio [17.13.1],,Percent,,3.5
2016,Broad money to total reserves ratio [17.13.1],,Percent,,3.7
2017,Broad money to total reserves ratio [17.13.1],,Percent,,4.0
2018,Broad money to total reserves ratio [17.13.1],,Percent,,3.9
2019,Broad money to total reserves ratio [17.13.1],,Percent,,3.8
2020,Broad money to total reserves ratio [17.13.1],,Percent,,4.1
2021,Broad money to total reserves ratio [17.13.1],,Percent,,4.0
2022,Broad money to total reserves ratio [17.13.1],,Percent,,4.0
2023,Broad money to total reserves ratio [17.13.1],,Percent,,4.2
2024,Broad money to total reserves ratio [17.13.1],,Percent,,3.8
2015,Bank nonperforming loans to total gross loans (%),,Percent,,6.8
2016,Bank nonperforming loans to total gross loans (%),,Percent,,9.1
2017,Bank nonperforming loans to total gross loans (%),,Percent,,10.6
2018,Bank nonperforming loans to total gross loans (%),,Percent,,12.0
2019,Bank nonperforming loans to total gross loans (%),,Percent,,12.0
2020,Bank nonperforming loans to total gross loans (%),,Percent,,11.5
2021,Bank nonperforming loans to total gross loans (%),,Percent,,14.3
2022,Bank nonperforming loans to total gross loans (%),,Percent,,13.8
2023,Bank nonperforming loans to total gross loans (%),,Percent,,12.3
2024,Bank nonperforming loans to total gross loans (%),,Percent,,16.2
2015,Bank capital to assets ratio (%) [17.13.1],,Percent,,15.2
2016,Bank capital to assets ratio (%) [17.13.1],,Percent,,16.3
2017,Bank capital to assets ratio (%) [17.13.1],,Percent,,14.1
2018,Bank capital to assets ratio (%) [17.13.1],,Percent,,14.7
2019,Bank capital to assets ratio (%) [17.13.1],,Percent,,14.8
2020,Bank capital to assets ratio (%) [17.13.1],,Percent,,15.4
2021,Bank capital to assets ratio (%) [17.13.1],,Percent,,16.6
2022,Bank capital to assets ratio (%) [17.13.1],,Percent,,16.1
