Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2014,Proportion of children engaged in economic activity and household chores [8.7.1],,,,,Percent,Normal value,Units,,34.5
2016,Proportion of children engaged in economic activity and household chores [8.7.1],,,,,Percent,Normal value,Units,,13.1
2019,Proportion of children engaged in economic activity and household chores [8.7.1],,,,,Percent,Normal value,Units,,16.9
2020,Proportion of children engaged in economic activity and household chores [8.7.1],,,,,Percent,Normal value,Units,,13.9
2021,Proportion of children engaged in economic activity and household chores [8.7.1],,,,,Percent,Normal value,Units,,3.9
2022,Proportion of children engaged in economic activity and household chores [8.7.1],,,,,Percent,Normal value,Units,,3.1
2022,Proportion of children engaged in economic activity and household chores [8.7.1],,,,Rural,Percent,Normal value,Units,,3.3
2022,Proportion of children engaged in economic activity and household chores [8.7.1],,,,Urban,Percent,Normal value,Units,,2.5
2019,Proportion of children engaged in economic activity and household chores [8.7.1],,,10 to 14 years old,,Percent,Normal value,Units,,20.1
2020,Proportion of children engaged in economic activity and household chores [8.7.1],,,10 to 14 years old,,Percent,Normal value,Units,,15.3
2021,Proportion of children engaged in economic activity and household chores [8.7.1],,,10 to 14 years old,,Percent,Normal value,Units,,4.2
2022,Proportion of children engaged in economic activity and household chores [8.7.1],,,10 to 14 years old,,Percent,Normal value,Units,,1.8
2019,Proportion of children engaged in economic activity and household chores [8.7.1],,,15 to 17 years old,,Percent,Normal value,Units,,24.1
2020,Proportion of children engaged in economic activity and household chores [8.7.1],,,15 to 17 years old,,Percent,Normal value,Units,,28.1
2021,Proportion of children engaged in economic activity and household chores [8.7.1],,,15 to 17 years old,,Percent,Normal value,Units,,7.2
2022,Proportion of children engaged in economic activity and household chores [8.7.1],,,15 to 17 years old,,Percent,Normal value,Units,,9.4
2019,Proportion of children engaged in economic activity and household chores [8.7.1],,,5 to 9 years old,,Percent,Normal value,Units,,9.9
2020,Proportion of children engaged in economic activity and household chores [8.7.1],,,5 to 9 years old,,Percent,Normal value,Units,,4.9
2021,Proportion of children engaged in economic activity and household chores [8.7.1],,,5 to 9 years old,,Percent,Normal value,Units,,1.8
2022,Proportion of children engaged in economic activity and household chores [8.7.1],,,5 to 9 years old,,Percent,Normal value,Units,,1.0
2019,Proportion of children engaged in economic activity and household chores [8.7.1],,Female,,,Percent,Normal value,Units,,15.1
2020,Proportion of children engaged in economic activity and household chores [8.7.1],,Female,,,Percent,Normal value,Units,,11.7
2021,Proportion of children engaged in economic activity and household chores [8.7.1],,Female,,,Percent,Normal value,Units,,2.9
2022,Proportion of children engaged in economic activity and household chores [8.7.1],,Female,,,Percent,Normal value,Units,,2.6
2019,Proportion of children engaged in economic activity and household chores [8.7.1],,Male,,,Percent,Normal value,Units,,26.0
2020,Proportion of children engaged in economic activity and household chores [8.7.1],,Male,,,Percent,Normal value,Units,,16.2
2021,Proportion of children engaged in economic activity and household chores [8.7.1],,Male,,,Percent,Normal value,Units,,4.8
2022,Proportion of children engaged in economic activity and household chores [8.7.1],,Male,,,Percent,Normal value,Units,,3.6
2014,Number of children engaged in economic activity and household chores [8.7.1],,,,,Number,Normal value,Units,,4552.3
2016,Number of children engaged in economic activity and household chores [8.7.1],,,,,Number,Normal value,Units,,2074.3
2019,Number of children engaged in economic activity and household chores [8.7.1],,,,,Number,Normal value,Units,,2693.2
2020,Number of children engaged in economic activity and household chores [8.7.1],,,,,Number,Normal value,Units,,2276.8
2021,Number of children engaged in economic activity and household chores [8.7.1],,,,,Number,Normal value,Units,,640.5
2022,Number of children engaged in economic activity and household chores [8.7.1],,,,,Number,Normal value,Units,,517.4
2022,Number of children engaged in economic activity and household chores [8.7.1],,,,Rural,Number,Normal value,Units,,414.3
2022,Number of children engaged in economic activity and household chores [8.7.1],,,,Urban,Number,Normal value,Units,,103.1
2014,Number of children engaged in economic activity and household chores [8.7.1],,Female,,,Number,Normal value,Units,,2200.6
2016,Number of children engaged in economic activity and household chores [8.7.1],,Female,,,Number,Normal value,Units,,894.8
2019,Number of children engaged in economic activity and household chores [8.7.1],,Female,,,Number,Normal value,Units,,1190.3
2020,Number of children engaged in economic activity and household chores [8.7.1],,Female,,,Number,Normal value,Units,,945.0
2021,Number of children engaged in economic activity and household chores [8.7.1],,Female,,,Number,Normal value,Units,,237.7
2022,Number of children engaged in economic activity and household chores [8.7.1],,Female,,,Number,Normal value,Units,,216.1
2014,Number of children engaged in economic activity and household chores [8.7.1],,Male,,,Number,Normal value,Units,,2351.7
2016,Number of children engaged in economic activity and household chores [8.7.1],,Male,,,Number,Normal value,Units,,1179.5
2019,Number of children engaged in economic activity and household chores [8.7.1],,Male,,,Number,Normal value,Units,,1503.0
2020,Number of children engaged in economic activity and household chores [8.7.1],,Male,,,Number,Normal value,Units,,1331.7
2021,Number of children engaged in economic activity and household chores [8.7.1],,Male,,,Number,Normal value,Units,,402.8
2022,Number of children engaged in economic activity and household chores [8.7.1],,Male,,,Number,Normal value,Units,,301.3
