Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,SOURCE_DETAIL,GeoCode,Value
2019,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,20 to 24 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,16.0
2020,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,20 to 24 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,17.7
2021,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,20 to 24 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,11.8
2022,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,20 to 24 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,14.9
2014,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,25 to 29 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,9.9
2016,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,25 to 29 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,9.0
2019,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,25 to 29 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,7.9
2020,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,25 to 29 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,10.2
2021,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,25 to 29 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,9.2
2022,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,25 to 29 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,10.2
2014,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,30 to 34 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,7.2
2016,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,30 to 34 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,4.6
2019,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,30 to 34 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,3.9
2020,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,30 to 34 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,6.4
2021,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,30 to 34 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,6.0
2022,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,30 to 34 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,3.5
2014,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,35 to 39 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,6.1
2016,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,35 to 39 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,3.7
2019,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,35 to 39 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,3.0
2020,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,35 to 39 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,4.2
2021,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,35 to 39 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,3.6
2022,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,35 to 39 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,2.8
2014,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,40 to 44 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,5.8
2016,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,40 to 44 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,2.7
2019,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,40 to 44 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,3.3
2020,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,40 to 44 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,4.9
2021,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,40 to 44 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,3.0
2022,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,40 to 44 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,2.8
2014,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,45 to 49 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,5.2
2016,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,45 to 49 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,1.8
2019,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,45 to 49 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,0.2
2020,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,45 to 49 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,5.2
2021,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,45 to 49 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,1.3
2022,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,45 to 49 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,2.1
2014,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,50 to 54 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,5.8
2016,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,50 to 54 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,1.6
2019,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,50 to 54 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,1.0
2020,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,50 to 54 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,3.8
2021,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,50 to 54 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,1.0
2022,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,50 to 54 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,2.1
2014,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,55 to 59 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,5.8
2016,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,55 to 59 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,1.9
2019,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,55 to 59 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,0.8
2020,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,55 to 59 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,2.5
2021,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,55 to 59 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,1.5
2022,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,55 to 59 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,0.9
2014,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,60 to 64 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,7.0
2016,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,60 to 64 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,1.6
2019,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,60 to 64 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,0.3
2020,"Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,60 to 64 years old,,Percent,Normal value,Units,2022,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,",,0.7
