Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2018,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [7.a.1]",,Kenyan Shillings,,2330
2019,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [7.a.1]",,Kenyan Shillings,,1348
2020,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [7.a.1]",,Kenyan Shillings,,380
2021,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [7.a.1]",,Kenyan Shillings,,2700
2022,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [7.a.1]",,Kenyan Shillings,,5400
2024,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [7.a.1]",,Kenyan Shillings,,5400
