Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2014,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2],,Percent,,12.1
2015,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2],,Percent,,12.9
2016,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2],,Percent,,12.7
2017,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2],,Percent,,12.3
2018,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2],,Percent,,12.2
2019,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2],,Percent,,12.1
2020,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2],,Percent,,11.6
2021,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2],,Percent,,11.6
2022,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2],,Percent,,11.7
2023,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2],,Percent,,11.5
2024,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2],,Percent,,11.5
