Year,Observation status,Unit multiplier,COMMENT_OBS,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Time period details,GeoCode,Value
2018,Normal value,Millions,"AIA, loans and grants to livestock,crop and fisheries, aquatic and blue economy",External revenue estimates handbook - Agriculture,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Kenyan Shillings,2023,,6219.8
2019,Normal value,Millions,"AIA, loans and grants to livestock,crop and fisheries, aquatic and blue economy",External revenue estimates handbook - Agriculture,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Kenyan Shillings,2023,,15520.1
2020,Normal value,Millions,"AIA, loans and grants to livestock,crop and fisheries, aquatic and blue economy",External revenue estimates handbook - Agriculture,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Kenyan Shillings,2023,,15981.0
2021,Normal value,Millions,"AIA, loans and grants to livestock,crop and fisheries, aquatic and blue economy",External revenue estimates handbook - Agriculture,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Kenyan Shillings,2023,,281388.6
2022,Normal value,Millions,"AIA, loans and grants to livestock,crop and fisheries, aquatic and blue economy",External revenue estimates handbook - Agriculture,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Kenyan Shillings,2023,,33238.8
2023,Normal value,Millions,"AIA, loans and grants to livestock,crop and fisheries, aquatic and blue economy",External revenue estimates handbook - Agriculture,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Kenyan Shillings,2023,,34387.1
