Year,SERIES,Reference area,Sex,Degree of urbanisation,Education level,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
2019,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,"Primary education, sufficient for level completion",Skill: Reading,Percent,,51.5
2020,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,"Primary education, sufficient for level completion",Skill: Reading,Percent,,52.8
2021,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,"Primary education, sufficient for level completion",Skill: Reading,Percent,,53.2
2022,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,"Primary education, sufficient for level completion",Skill: Reading,Percent,,53.1
2023,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,"Primary education, sufficient for level completion",Skill: Reading,Percent,,25.5
2017,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,"Primary education, sufficient for level completion",Skill: Reading,Percent,,47.8
2018,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,"Primary education, sufficient for level completion",Skill: Reading,Percent,,54.8
2019,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,"Primary education, sufficient for level completion",Skill: Reading,Percent,,53.5
2020,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,"Primary education, sufficient for level completion",Skill: Reading,Percent,,53.8
2023,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,"Primary education, sufficient for level completion",Skill: Reading,Percent,,27.2
2017,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,"Primary education, sufficient for level completion",Skill: Reading,Percent,,47.4
2018,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,"Primary education, sufficient for level completion",Skill: Reading,Percent,,54.6
2019,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,"Primary education, sufficient for level completion",Skill: Reading,Percent,,53.8
2020,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,"Primary education, sufficient for level completion",Skill: Reading,Percent,,53.2
2023,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,"Primary education, sufficient for level completion",Skill: Reading,Percent,,23.9
2018,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,Lower secondary education,Skill: Reading,Percent,,39.9
2018,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,Lower secondary education,Skill: Reading,Percent,,43.5
2018,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,Lower secondary education,Skill: Reading,Percent,,36.3
2015,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,Grade 2/3,Skill: Mathematics,Percent,,47.1
2017,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,Grade 2/3,Skill: Mathematics,Percent,,71.1
2018,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,Grade 2/3,Skill: Mathematics,Percent,,67.0
2019,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,Grade 2/3,Skill: Mathematics,Percent,,76.1
2023,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,Grade 2/3,Skill: Mathematics,Percent,,88.6
2017,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,Rural,Grade 2/3,Skill: Mathematics,Percent,,71.9
2018,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,Rural,Grade 2/3,Skill: Mathematics,Percent,,62.2
2019,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,Rural,Grade 2/3,Skill: Mathematics,Percent,,73.2
2017,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,Urban,Grade 2/3,Skill: Mathematics,Percent,,82.5
2018,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,Urban,Grade 2/3,Skill: Mathematics,Percent,,75.7
2019,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,Urban,Grade 2/3,Skill: Mathematics,Percent,,83.1
2015,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,Grade 2/3,Skill: Mathematics,Percent,,49.0
2017,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,Grade 2/3,Skill: Mathematics,Percent,,72.5
2018,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,Grade 2/3,Skill: Mathematics,Percent,,66.4
2019,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,Grade 2/3,Skill: Mathematics,Percent,,75.9
2023,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Female,,Grade 2/3,Skill: Mathematics,Percent,,89.4
2015,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,Grade 2/3,Skill: Mathematics,Percent,,45.2
2017,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,Grade 2/3,Skill: Mathematics,Percent,,69.8
2018,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,Grade 2/3,Skill: Mathematics,Percent,,67.7
2019,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,Grade 2/3,Skill: Mathematics,Percent,,76.1
2023,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,Male,,Grade 2/3,Skill: Mathematics,Percent,,87.6
2015,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,,56.2
2016,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,,45.4
2017,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,,51.1
2018,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,"Primary education, sufficient for level completion",Skill: Mathematics,Percent,,43.1
