Year,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,GeoCode,Value
2022,Prevalence of minimum dietary diversity among children aged 6-23 months,,,6 to 23 months old,Percent,Normal value,Units,2022,,36.9
2022,Prevalence of minimum dietary diversity among non-pregnant women aged 15-49 years [2.2.4],,Female,15 to 49 years old,Percent,Normal value,Units,2022,,48.4
