Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,Time period details,GeoCode,Value
2018,Normal value,Millions,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,Kenyan Shillings,2023,,17956
2019,Normal value,Millions,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,Kenyan Shillings,2023,,17956
2020,Normal value,Millions,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,Kenyan Shillings,2023,,23683
2021,Normal value,Millions,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,Kenyan Shillings,2023,,15249
2022,Normal value,Millions,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,Kenyan Shillings,2023,,24203
2023,Normal value,Millions,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",,Kenyan Shillings,2023,,21459
