Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2019,Indicator of Food Price Anomalies - Maize,,Index,Normal value,Units,,0.267181
2020,Indicator of Food Price Anomalies - Maize,,Index,Normal value,Units,,0.366321
2021,Indicator of Food Price Anomalies - Maize,,Index,Normal value,Units,,-0.451621
2022,Indicator of Food Price Anomalies - Maize,,Index,Normal value,Units,,0.732774
2023,Indicator of Food Price Anomalies - Maize,,Index,Normal value,Units,,-0.181758
2024,Indicator of Food Price Anomalies - Maize,,Index,Normal value,Units,,-1.497974
