Year,SERIES,Reference area,Sex,Age,Income or wealth quantile,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,GeoCode,Value
2016,Proportion of people living below 50 percent of median income [10.2.1],,,,Bottom 50%,Percent,Normal value,Units,2022,,18.436463
2019,Proportion of people living below 50 percent of median income [10.2.1],,,,Bottom 50%,Percent,Normal value,Units,2022,,18.4
2020,Proportion of people living below 50 percent of median income [10.2.1],,,,Bottom 50%,Percent,Normal value,Units,2022,,14.6
2021,Proportion of people living below 50 percent of median income [10.2.1],,,,Bottom 50%,Percent,Normal value,Units,2022,,11.6
2022,Proportion of people living below 50 percent of median income [10.2.1],,,,Bottom 50%,Percent,Normal value,Units,2022,,12.3
2016,Proportion of people living below 50 percent of median income [10.2.1],,,65 years old and over,Bottom 50%,Percent,Normal value,Units,2022,,15.895684
2019,Proportion of people living below 50 percent of median income [10.2.1],,,65 years old and over,Bottom 50%,Percent,Normal value,Units,2022,,14.7
2020,Proportion of people living below 50 percent of median income [10.2.1],,,65 years old and over,Bottom 50%,Percent,Normal value,Units,2022,,10.0
2021,Proportion of people living below 50 percent of median income [10.2.1],,,65 years old and over,Bottom 50%,Percent,Normal value,Units,2022,,11.5
2022,Proportion of people living below 50 percent of median income [10.2.1],,,65 years old and over,Bottom 50%,Percent,Normal value,Units,2022,,12.2
2016,Proportion of people living below 50 percent of median income [10.2.1],,,under 18 years old,Bottom 50%,Percent,Normal value,Units,2022,,20.159164
2019,Proportion of people living below 50 percent of median income [10.2.1],,,under 18 years old,Bottom 50%,Percent,Normal value,Units,2022,,21.6
2020,Proportion of people living below 50 percent of median income [10.2.1],,,under 18 years old,Bottom 50%,Percent,Normal value,Units,2022,,15.0
2021,Proportion of people living below 50 percent of median income [10.2.1],,,under 18 years old,Bottom 50%,Percent,Normal value,Units,2022,,11.4
2022,Proportion of people living below 50 percent of median income [10.2.1],,,under 18 years old,Bottom 50%,Percent,Normal value,Units,2022,,12.4
2016,Proportion of people living below 50 percent of median income [10.2.1],,,under 6 years old,Bottom 50%,Percent,Normal value,Units,2022,,24.352123
2019,Proportion of people living below 50 percent of median income [10.2.1],,,under 6 years old,Bottom 50%,Percent,Normal value,Units,2022,,28.4
2020,Proportion of people living below 50 percent of median income [10.2.1],,,under 6 years old,Bottom 50%,Percent,Normal value,Units,2022,,19.3
