Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,SOURCE_DETAIL,GeoCode,Value
2015,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",,Per million population,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,3151
2018,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",,Per million population,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,3019
2019,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",,Per million population,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,2759
2021,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",,Per million population,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,2399
2015,"Number of deaths, missing persons and directly affected persons attributed to disasters",,Number,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,1500000
2018,"Number of deaths, missing persons and directly affected persons attributed to disasters",,Number,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,1401058
2019,"Number of deaths, missing persons and directly affected persons attributed to disasters",,Number,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,1313374
2021,"Number of deaths, missing persons and directly affected persons attributed to disasters",,Number,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,1192393
2018,Number of households displaced as a result of disaster,,Number,Normal value,Units,2021,,,269515
2019,Number of households displaced as a result of disaster,,Number,Normal value,Units,2021,,,396855
2021,Number of households displaced as a result of disaster,,Number,Normal value,Units,2021,,,158472
2018,Number of households affected by disaster,,Number,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,1131300
2019,Number of households affected by disaster,,Number,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,916115
2021,Number of households affected by disaster,,Number,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,1033764
2018,Number of persons displaced attributed to disasters,,Number,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,269515
2019,Number of persons displaced attributed to disasters,,Number,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,396855
2021,Number of persons displaced attributed to disasters,,Number,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,158472
2018,Number of directly affected persons attributed to disasters,,Number,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,1131300
2019,Number of directly affected persons attributed to disasters,,Number,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,916115
2021,Number of directly affected persons attributed to disasters,,Number,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,1033764
2018,"Number of deaths from disaster per 100,000 people",,Number,Normal value,Units,2021,,,187
2019,"Number of deaths from disaster per 100,000 people",,Number,Normal value,Units,2021,,,305
2021,"Number of deaths from disaster per 100,000 people",,Number,Normal value,Units,2021,,,139
2018,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",,Number,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,56
2019,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",,Number,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,82
2021,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",,Number,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,17
2019,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",,Number,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,17
2021,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]",,Number,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,1
2018,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",,Number,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,187
2019,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",,Number,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,305
2021,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",,Number,Normal value,Units,2021,Kenya National Disaster Operations Centre (NDOC),,139
