Year,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
2014,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,Female,Percent,,4.4
2018,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,Female,Percent,,2.6
2022,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,Female,Percent,,2.2
2014,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,Female,Percent,,22.9
2018,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,Female,Percent,,14.3
2022,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,Female,Percent,,12.5
