Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,GeoCode,Value
2014,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,2024,,10.0
2015,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,2024,,10.0
2016,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,2024,,9.3
2017,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,2024,,8.7
2018,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,2024,,8.4
2019,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,2024,,7.9
2020,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,2024,,7.6
2021,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,2024,,7.4
2022,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,2024,,7.7
2023,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,2024,,7.5
2024,Manufacturing value added as a proportion of GDP [9.2.1],,Percent,Normal value,Units,2024,,7.3
2014,Manufacturing value added per capita [9.2.1],,Kenyan Shillings,Normal value,Units,2024,,12511.6
2015,Manufacturing value added per capita [9.2.1],,Kenyan Shillings,Normal value,Units,2024,,13600.4
2016,Manufacturing value added per capita [9.2.1],,Kenyan Shillings,Normal value,Units,2024,,14773.3
2017,Manufacturing value added per capita [9.2.1],,Kenyan Shillings,Normal value,Units,2024,,15735.3
2018,Manufacturing value added per capita [9.2.1],,Kenyan Shillings,Normal value,Units,2024,,16926.1
2019,Manufacturing value added per capita [9.2.1],,Kenyan Shillings,Normal value,Units,2024,,17001.1
2020,Manufacturing value added per capita [9.2.1],,Kenyan Shillings,Normal value,Units,2024,,16687.0
2021,Manufacturing value added per capita [9.2.1],,Kenyan Shillings,Normal value,Units,2024,,17819.6
2022,Manufacturing value added per capita [9.2.1],,Kenyan Shillings,Normal value,Units,2024,,20636.2
2023,Manufacturing value added per capita [9.2.1],,Kenyan Shillings,Normal value,Units,2024,,22308.0
2024,Manufacturing value added per capita [9.2.1],,Kenyan Shillings,Normal value,Units,2024,,22438.1
