Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Time period details,GeoCode,Value
2014,Normal value,Millions,MWIS--SDG pilot Report,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,,USD,2021,,204.8
2015,Normal value,Millions,MWIS--SDG pilot Report,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,,USD,2021,,172.6
2016,Normal value,Millions,MWIS--SDG pilot Report,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,,USD,2021,,220.5
2017,Normal value,Millions,MWIS--SDG pilot Report,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,,USD,2021,,244.3
2018,Normal value,Millions,MWIS--SDG pilot Report,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,,USD,2021,,295.3
2019,Normal value,Millions,MWIS--SDG pilot Report,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,,USD,2021,,217.2
2020,Normal value,Millions,MWIS--SDG pilot Report,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,,USD,2021,,206.9
2021,Normal value,Millions,MWIS--SDG pilot Report,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,,USD,2021,,247.1
