Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,GeoCode,Value
2014,Proportion of household using safely managed drinking water services,,,Percent,Normal value,Units,2024,,63.0
2016,Proportion of household using safely managed drinking water services,,,Percent,Normal value,Units,2024,,55.9
2022,Proportion of household using safely managed drinking water services,,,Percent,Normal value,Units,2024,,64.3
2024,Proportion of household using safely managed drinking water services,,,Percent,Normal value,Units,2024,,76.6
2014,Proportion of household using safely managed drinking water services,,Rural,Percent,Normal value,Units,2024,,49.9
2016,Proportion of household using safely managed drinking water services,,Rural,Percent,Normal value,Units,2024,,51.2
2022,Proportion of household using safely managed drinking water services,,Rural,Percent,Normal value,Units,2024,,58.7
2024,Proportion of household using safely managed drinking water services,,Rural,Percent,Normal value,Units,2024,,64.1
2014,Proportion of household using safely managed drinking water services,,Urban,Percent,Normal value,Units,2024,,81.2
2016,Proportion of household using safely managed drinking water services,,Urban,Percent,Normal value,Units,2024,,61.9
2022,Proportion of household using safely managed drinking water services,,Urban,Percent,Normal value,Units,2024,,72.7
2024,Proportion of household using safely managed drinking water services,,Urban,Percent,Normal value,Units,2024,,92.4
2014,Proportion of population using safely managed drinking water services [6.1.1],,,Percent,Normal value,Units,2024,,60.3
2016,Proportion of population using safely managed drinking water services [6.1.1],,,Percent,Normal value,Units,2024,,52.4
2022,Proportion of population using safely managed drinking water services [6.1.1],,,Percent,Normal value,Units,2024,,67.9
2024,Proportion of population using safely managed drinking water services [6.1.1],,,Percent,Normal value,Units,2024,,74.7
2014,Proportion of population using safely managed drinking water services [6.1.1],,Rural,Percent,Normal value,Units,2024,,48.1
2016,Proportion of population using safely managed drinking water services [6.1.1],,Rural,Percent,Normal value,Units,2024,,48.6
2022,Proportion of population using safely managed drinking water services [6.1.1],,Rural,Percent,Normal value,Units,2024,,56.3
2024,Proportion of population using safely managed drinking water services [6.1.1],,Rural,Percent,Normal value,Units,2024,,64.4
2014,Proportion of population using safely managed drinking water services [6.1.1],,Urban,Percent,Normal value,Units,2024,,78.0
2016,Proportion of population using safely managed drinking water services [6.1.1],,Urban,Percent,Normal value,Units,2024,,60.0
2022,Proportion of population using safely managed drinking water services [6.1.1],,Urban,Percent,Normal value,Units,2024,,90.6
2024,Proportion of population using safely managed drinking water services [6.1.1],,Urban,Percent,Normal value,Units,2024,,96.5
