Year,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2014,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,,Percent,,71.8
2015,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,,Percent,,74.6
2016,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,,Percent,,74.9
2017,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,,Percent,,76.9
2018,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,,Percent,,77.2
2019,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,,Percent,,73.8
2022,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,,Percent,,87.9
2024,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,,Percent,,87.6
2019,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,Rural,Percent,,70.9
2024,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,Rural,Percent,,86.0
2019,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,Urban,Percent,,81.9
2024,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,Urban,Percent,,91.3
2019,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Female,,Percent,,73.8
2022,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Female,,Percent,,88.8
2024,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Female,,Percent,,89.2
2019,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Male,,Percent,,73.9
2022,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Male,,Percent,,86.9
2024,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Male,,Percent,,86.2
