Year,Observation status,Unit multiplier,COMMENT_OBS,SOURCE_DETAIL,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Time period details,GeoCode,Value
2021,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,65 years old and over,,Percent,2022,,46.6
2022,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,65 years old and over,,Percent,2022,,44.4
2016,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,under 18 years old,,Percent,2022,,41.6
2019,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,under 18 years old,,Percent,2022,,39.5
2020,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,under 18 years old,,Percent,2022,,46.0
2021,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,under 18 years old,,Percent,2022,,40.3
2022,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,under 18 years old,,Percent,2022,,42.4
2016,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,under 6 years old,,Percent,2022,,37.0
2019,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,under 6 years old,,Percent,2022,,37.5
2020,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,under 6 years old,,Percent,2022,,40.5
2021,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,under 6 years old,,Percent,2022,,34.5
2022,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,under 6 years old,,Percent,2022,,36.4
2016,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,14-17 years,,Percent,2022,,43.8
2019,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,14-17 years,,Percent,2022,,39.9
2020,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,14-17 years,,Percent,2022,,47.7
2021,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,14-17 years,,Percent,2022,,44.9
2022,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,14-17 years,,Percent,2022,,47.4
2022,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,15 to 24 years old,,Percent,2022,,44.0
2016,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,15 to 64 years old,,Percent,2022,,32.2
2019,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,15 to 64 years old,,Percent,2022,,30.5
2020,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,15 to 64 years old,,Percent,2022,,40.8
2021,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,15 to 64 years old,,Percent,2022,,36.7
2022,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,15 to 64 years old,,Percent,2022,,38.5
2016,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,18-34 years,,Percent,2022,,28.9
2019,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,18-34 years,,Percent,2022,,28.3
2020,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,18-34 years,,Percent,2022,,39.6
2021,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,18-34 years,,Percent,2022,,34.4
2022,Normal value,Units,Refers to individuals,2016: KIHBS                2019 - 2022: KCHSP,Proportion of population living below the national poverty line [1.2.1],,,18-34 years,,Percent,2022,,36.7
