Year,SERIES,SEX,AGE,URBANISATION,UNIT_MEASURE,Value
2014,SL_TLF_CHLDEC,,,,PT,34.5
2016,SL_TLF_CHLDEC,,,,PT,13.1
2019,SL_TLF_CHLDEC,,,,PT,16.9
2020,SL_TLF_CHLDEC,,,,PT,13.9
2021,SL_TLF_CHLDEC,,,,PT,3.9
2022,SL_TLF_CHLDEC,,,,PT,3.1
2022,SL_TLF_CHLDEC,,,R,PT,3.3
2022,SL_TLF_CHLDEC,,,U,PT,2.5
2019,SL_TLF_CHLDEC,F,,,PT,15.1
2020,SL_TLF_CHLDEC,F,,,PT,11.7
2021,SL_TLF_CHLDEC,F,,,PT,2.9
2022,SL_TLF_CHLDEC,F,,,PT,2.6
2019,SL_TLF_CHLDEC,M,,,PT,26.0
2020,SL_TLF_CHLDEC,M,,,PT,16.2
2021,SL_TLF_CHLDEC,M,,,PT,4.8
2022,SL_TLF_CHLDEC,M,,,PT,3.6
2019,SL_TLF_CHLDEC,,Y5T9,,PT,9.9
2020,SL_TLF_CHLDEC,,Y5T9,,PT,4.9
2021,SL_TLF_CHLDEC,,Y5T9,,PT,1.8
2022,SL_TLF_CHLDEC,,Y5T9,,PT,1.0
2019,SL_TLF_CHLDEC,,Y10T14,,PT,20.1
2020,SL_TLF_CHLDEC,,Y10T14,,PT,15.3
2021,SL_TLF_CHLDEC,,Y10T14,,PT,4.2
2022,SL_TLF_CHLDEC,,Y10T14,,PT,1.8
2019,SL_TLF_CHLDEC,,Y15T17,,PT,24.1
2020,SL_TLF_CHLDEC,,Y15T17,,PT,28.1
2021,SL_TLF_CHLDEC,,Y15T17,,PT,7.2
2022,SL_TLF_CHLDEC,,Y15T17,,PT,9.4
2014,SL_TLF_CHLDECN,,,,NUMBER,4552.3
2016,SL_TLF_CHLDECN,,,,NUMBER,2074.3
2019,SL_TLF_CHLDECN,,,,NUMBER,2693.2
2020,SL_TLF_CHLDECN,,,,NUMBER,2276.8
2021,SL_TLF_CHLDECN,,,,NUMBER,640.5
2022,SL_TLF_CHLDECN,,,,NUMBER,517.4
2022,SL_TLF_CHLDECN,,,R,NUMBER,414.3
2022,SL_TLF_CHLDECN,,,U,NUMBER,103.1
2014,SL_TLF_CHLDECN,F,,,NUMBER,2200.6
2016,SL_TLF_CHLDECN,F,,,NUMBER,894.8
2019,SL_TLF_CHLDECN,F,,,NUMBER,1190.3
2020,SL_TLF_CHLDECN,F,,,NUMBER,945.0
2021,SL_TLF_CHLDECN,F,,,NUMBER,237.7
2022,SL_TLF_CHLDECN,F,,,NUMBER,216.1
2014,SL_TLF_CHLDECN,M,,,NUMBER,2351.7
2016,SL_TLF_CHLDECN,M,,,NUMBER,1179.5
2019,SL_TLF_CHLDECN,M,,,NUMBER,1503.0
2020,SL_TLF_CHLDECN,M,,,NUMBER,1331.7
2021,SL_TLF_CHLDECN,M,,,NUMBER,402.8
2022,SL_TLF_CHLDECN,M,,,NUMBER,301.3
