Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Time period details,GeoCode,Value
2017,Normal value,Units,MWIS/UN WATER,Proportion of groundwater bodies with good ambient water quality [6.3.2],,Percent,2020,,42.2
2020,Normal value,Units,MWIS/UN WATER,Proportion of groundwater bodies with good ambient water quality [6.3.2],,Percent,2020,,90.3
2020,Normal value,Units,MWIS/UN WATER,Proportion of open water bodies with good ambient water quality [6.3.2],,Percent,2020,,33.3
2017,Normal value,Units,MWIS/UN WATER,Proportion of river water bodies with good ambient water quality [6.3.2],,Percent,2020,,30.5
2020,Normal value,Units,MWIS/UN WATER,Proportion of river water bodies with good ambient water quality [6.3.2],,Percent,2020,,90.4
2017,Normal value,Units,MWIS/UN WATER,Proportion of bodies of water with good ambient water quality [6.3.2],,Percent,2020,,35.5
2020,Normal value,Units,MWIS/UN WATER,Proportion of bodies of water with good ambient water quality [6.3.2],,Percent,2020,,86.5
