Year,SERIES,Value
2014,SP_DYN_MRBF15,4.4
2018,SP_DYN_MRBF15,2.6
2022,SP_DYN_MRBF15,2.2
2014,SP_DYN_MRBF18,22.9
2018,SP_DYN_MRBF18,14.3
2022,SP_DYN_MRBF18,12.5
