Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,GeoCode,Value
2014,SG_CPA_INVPRMLDC,,BOOL,A,0,2023,"Companies Act 2015, National Investment Policy, Tax Laws(amended) Bill (2018), Finance Act (2018), County Investment Handbook (2019), Economic Partnership Agreement, The Investment Promotion (Amendment) Bill 2020, Investment Climate Statement-Kenya, The Public-Private Partnership Act, 2021",,1
2015,SG_CPA_INVPRMLDC,,BOOL,A,0,2023,"Companies Act 2015, National Investment Policy, Tax Laws(amended) Bill (2018), Finance Act (2018), County Investment Handbook (2019), Economic Partnership Agreement, The Investment Promotion (Amendment) Bill 2020, Investment Climate Statement-Kenya, The Public-Private Partnership Act, 2021",,1
2016,SG_CPA_INVPRMLDC,,BOOL,A,0,2023,"Companies Act 2015, National Investment Policy, Tax Laws(amended) Bill (2018), Finance Act (2018), County Investment Handbook (2019), Economic Partnership Agreement, The Investment Promotion (Amendment) Bill 2020, Investment Climate Statement-Kenya, The Public-Private Partnership Act, 2021",,1
2017,SG_CPA_INVPRMLDC,,BOOL,A,0,2023,"Companies Act 2015, National Investment Policy, Tax Laws(amended) Bill (2018), Finance Act (2018), County Investment Handbook (2019), Economic Partnership Agreement, The Investment Promotion (Amendment) Bill 2020, Investment Climate Statement-Kenya, The Public-Private Partnership Act, 2021",,1
2018,SG_CPA_INVPRMLDC,,BOOL,A,0,2023,"Companies Act 2015, National Investment Policy, Tax Laws(amended) Bill (2018), Finance Act (2018), County Investment Handbook (2019), Economic Partnership Agreement, The Investment Promotion (Amendment) Bill 2020, Investment Climate Statement-Kenya, The Public-Private Partnership Act, 2021",,1
2019,SG_CPA_INVPRMLDC,,BOOL,A,0,2023,"Companies Act 2015, National Investment Policy, Tax Laws(amended) Bill (2018), Finance Act (2018), County Investment Handbook (2019), Economic Partnership Agreement, The Investment Promotion (Amendment) Bill 2020, Investment Climate Statement-Kenya, The Public-Private Partnership Act, 2021",,1
2020,SG_CPA_INVPRMLDC,,BOOL,A,0,2023,"Companies Act 2015, National Investment Policy, Tax Laws(amended) Bill (2018), Finance Act (2018), County Investment Handbook (2019), Economic Partnership Agreement, The Investment Promotion (Amendment) Bill 2020, Investment Climate Statement-Kenya, The Public-Private Partnership Act, 2021",,1
2021,SG_CPA_INVPRMLDC,,BOOL,A,0,2023,"Companies Act 2015, National Investment Policy, Tax Laws(amended) Bill (2018), Finance Act (2018), County Investment Handbook (2019), Economic Partnership Agreement, The Investment Promotion (Amendment) Bill 2020, Investment Climate Statement-Kenya, The Public-Private Partnership Act, 2021",,1
2022,SG_CPA_INVPRMLDC,,BOOL,A,0,2023,"Companies Act 2015, National Investment Policy, Tax Laws(amended) Bill (2018), Finance Act (2018), County Investment Handbook (2019), Economic Partnership Agreement, The Investment Promotion (Amendment) Bill 2020, Investment Climate Statement-Kenya, The Public-Private Partnership Act, 2021",,1
2023,SG_CPA_INVPRMLDC,,BOOL,A,0,2023,"Companies Act 2015, National Investment Policy, Tax Laws(amended) Bill (2018), Finance Act (2018), County Investment Handbook (2019), Economic Partnership Agreement, The Investment Promotion (Amendment) Bill 2020, Investment Climate Statement-Kenya, The Public-Private Partnership Act, 2021",,1
