Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2018,DC_TOF_HLTHNT,,KES,A,6,2024,,17956
2019,DC_TOF_HLTHNT,,KES,A,6,2024,,17956
2020,DC_TOF_HLTHNT,,KES,A,6,2024,,23683
2021,DC_TOF_HLTHNT,,KES,A,6,2024,,15249
2022,DC_TOF_HLTHNT,,KES,A,6,2024,,24203
2023,DC_TOF_HLTHNT,,KES,A,6,2024,,21459
2024,DC_TOF_HLTHNT,,KES,A,6,2024,,17120
