Year,Observation status,Unit multiplier,COMMENT_OBS,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Time period details,GeoCode,Value
2014,Normal value,Units,"National Disaster Reduction Strategy & Policy 2010, National Disaster Preparedness and Response Strategies",Kenya National Disaster Operations Centre (NDOC),"Countries that reported having a National DRR Strategy which is aligned to the Sendai Framework to a certain extent (1 = YES; 0 = NO) [1.5.3, 11.b.1, 13.1.2]",,Boolean or binary measure,2022,,1
2015,Normal value,Units,"National Disaster Reduction Strategy & Policy 2010, National Disaster Preparedness and Response Strategies",Kenya National Disaster Operations Centre (NDOC),"Countries that reported having a National DRR Strategy which is aligned to the Sendai Framework to a certain extent (1 = YES; 0 = NO) [1.5.3, 11.b.1, 13.1.2]",,Boolean or binary measure,2022,,1
2016,Normal value,Units,"National Disaster Reduction Strategy & Policy 2010, National Disaster Preparedness and Response Strategies",Kenya National Disaster Operations Centre (NDOC),"Countries that reported having a National DRR Strategy which is aligned to the Sendai Framework to a certain extent (1 = YES; 0 = NO) [1.5.3, 11.b.1, 13.1.2]",,Boolean or binary measure,2022,,1
2017,Normal value,Units,"National Disaster Reduction Strategy & Policy 2010, National Disaster Preparedness and Response Strategies",Kenya National Disaster Operations Centre (NDOC),"Countries that reported having a National DRR Strategy which is aligned to the Sendai Framework to a certain extent (1 = YES; 0 = NO) [1.5.3, 11.b.1, 13.1.2]",,Boolean or binary measure,2022,,1
2018,Normal value,Units,"National Disaster Reduction Strategy & Policy 2010, National Disaster Preparedness and Response Strategies",Kenya National Disaster Operations Centre (NDOC),"Countries that reported having a National DRR Strategy which is aligned to the Sendai Framework to a certain extent (1 = YES; 0 = NO) [1.5.3, 11.b.1, 13.1.2]",,Boolean or binary measure,2022,,1
2019,Normal value,Units,"National Disaster Reduction Strategy & Policy 2010, National Disaster Preparedness and Response Strategies",Kenya National Disaster Operations Centre (NDOC),"Countries that reported having a National DRR Strategy which is aligned to the Sendai Framework to a certain extent (1 = YES; 0 = NO) [1.5.3, 11.b.1, 13.1.2]",,Boolean or binary measure,2022,,1
2020,Normal value,Units,"National Disaster Reduction Strategy & Policy 2010, National Disaster Preparedness and Response Strategies",Kenya National Disaster Operations Centre (NDOC),"Countries that reported having a National DRR Strategy which is aligned to the Sendai Framework to a certain extent (1 = YES; 0 = NO) [1.5.3, 11.b.1, 13.1.2]",,Boolean or binary measure,2022,,1
2021,Normal value,Units,"National Disaster Reduction Strategy & Policy 2010, National Disaster Preparedness and Response Strategies",Kenya National Disaster Operations Centre (NDOC),"Countries that reported having a National DRR Strategy which is aligned to the Sendai Framework to a certain extent (1 = YES; 0 = NO) [1.5.3, 11.b.1, 13.1.2]",,Boolean or binary measure,2022,,1
2022,Normal value,Units,"National Disaster Reduction Strategy & Policy 2010, National Disaster Preparedness and Response Strategies",Kenya National Disaster Operations Centre (NDOC),"Countries that reported having a National DRR Strategy which is aligned to the Sendai Framework to a certain extent (1 = YES; 0 = NO) [1.5.3, 11.b.1, 13.1.2]",,Boolean or binary measure,2022,,1
