Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,GeoCode,Value
2014,SH_STA_WAST,,,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,4.0
2016,SH_STA_WAST,,,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,6.3
2022,SH_STA_WAST,,,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,4.9
2014,SH_STA_WAST,,,R,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,4.4
2016,SH_STA_WAST,,,R,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,6.5
2022,SH_STA_WAST,,,R,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,5.3
2014,SH_STA_WAST,,,U,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,3.4
2016,SH_STA_WAST,,,U,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,5.1
2022,SH_STA_WAST,,,U,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,4.0
2014,SH_STA_WAST,,F,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,3.7
2016,SH_STA_WAST,,F,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,5.8
2022,SH_STA_WAST,,F,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,4.3
2014,SH_STA_WAST,,M,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,4.4
2016,SH_STA_WAST,,M,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,6.7
2022,SH_STA_WAST,,M,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,5.4
2014,SN_STA_OVWGT,,,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,22.7
2016,SN_STA_OVWGT,,,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,4.9
2022,SN_STA_OVWGT,,,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,3.2
2014,SN_STA_OVWGT,,,R,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,18.8
2022,SN_STA_OVWGT,,,R,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,2.8
2014,SN_STA_OVWGT,,,U,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,28.6
2022,SN_STA_OVWGT,,,U,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,4.0
2014,SN_STA_OVWGT,,F,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,3.5
2016,SN_STA_OVWGT,,F,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,6.5
2022,SN_STA_OVWGT,,F,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,3.6
2014,SN_STA_OVWGT,,M,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,4.7
2016,SN_STA_OVWGT,,M,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,4.7
2022,SN_STA_OVWGT,,M,,PT,A,0,2022,"2014:  KDHS                   2016:  KIHBS , 2022: KDHS",,2.9
