Year,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2016,Proportion of population with access to electricity,,,,Percent,Normal value,Units,,33.8
2022,Proportion of population with access to electricity,,,,Percent,Normal value,Units,,49.6
2024,Proportion of population with access to electricity,,,,Percent,Normal value,Units,,65.5
2024,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,,,Percent,Normal value,Units,,66.0
2022,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,Female,,Percent,Normal value,Units,,7.3
2022,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,Female,Rural,Percent,Normal value,Units,,8.4
2022,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,Female,Urban,Percent,Normal value,Units,,5.1
