Year,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,GeoCode,Value
2014,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"Per 100,000 population",Normal value,Units,2024,,4.0
2015,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"Per 100,000 population",Normal value,Units,2024,,4.0
2016,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"Per 100,000 population",Normal value,Units,2024,,4.0
2017,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"Per 100,000 population",Normal value,Units,2024,,4.0
2018,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"Per 100,000 population",Normal value,Units,2024,,3.0
2019,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"Per 100,000 population",Normal value,Units,2024,,6.248384
2020,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"Per 100,000 population",Normal value,Units,2024,,6.264142
2021,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"Per 100,000 population",Normal value,Units,2024,,6.600935
2022,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"Per 100,000 population",Normal value,Units,2024,,6.145438
2023,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"Per 100,000 population",Normal value,Units,2024,,5.894157
2024,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,,"Per 100,000 population",Normal value,Units,2024,,6.0
2019,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,60 years old and over,"Per 100,000 population",Normal value,Units,2024,,2.84618
2020,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,60 years old and over,"Per 100,000 population",Normal value,Units,2024,,8.045948
2021,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,60 years old and over,"Per 100,000 population",Normal value,Units,2024,,10.488346
2022,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,60 years old and over,"Per 100,000 population",Normal value,Units,2024,,8.630603
2023,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,60 years old and over,"Per 100,000 population",Normal value,Units,2024,,5.173989
2024,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,60 years old and over,"Per 100,000 population",Normal value,Units,2024,,6.0
2019,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,under 18 years old,"Per 100,000 population",Normal value,Units,2024,,4.502083
2020,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,under 18 years old,"Per 100,000 population",Normal value,Units,2024,,1.563778
2021,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,under 18 years old,"Per 100,000 population",Normal value,Units,2024,,1.90473
2022,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,under 18 years old,"Per 100,000 population",Normal value,Units,2024,,2.068044
2023,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,under 18 years old,"Per 100,000 population",Normal value,Units,2024,,1.237633
2024,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,under 18 years old,"Per 100,000 population",Normal value,Units,2024,,1.0
2019,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,18-25,"Per 100,000 population",Normal value,Units,2024,,9.917627
2020,"Number of victims of intentional homicide per 100,000 population [16.1.1]",,,18-25,"Per 100,000 population",Normal value,Units,2024,,8.839462
