Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,Time period details,GeoCode,Value
2019,Normal value,Millions,"Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]",,Kenyan Shillings,2023,,1438.0
2020,Normal value,Millions,"Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]",,Kenyan Shillings,2023,,1938.0
2021,Normal value,Millions,"Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]",,Kenyan Shillings,2023,,715.0
2022,Normal value,Millions,"Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]",,Kenyan Shillings,2023,,1302.1
2023,Normal value,Millions,"Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]",,Kenyan Shillings,2023,,1819.5
