Year,Observation status,Unit multiplier,COMMENT_OBS,SERIES,Reference area,UNIT_MEASURE,Time period details,GeoCode,Value
2014,Normal value,Units,"Constitution of Kenya 2010; The Access to Information Act, 2016","Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information [16.10.2]",,Boolean or binary measure,2023,,1
2015,Normal value,Units,"Constitution of Kenya 2010; The Access to Information Act, 2016","Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information [16.10.2]",,Boolean or binary measure,2023,,1
2016,Normal value,Units,"Constitution of Kenya 2010; The Access to Information Act, 2016","Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information [16.10.2]",,Boolean or binary measure,2023,,1
2017,Normal value,Units,"Constitution of Kenya 2010; The Access to Information Act, 2016","Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information [16.10.2]",,Boolean or binary measure,2023,,1
2018,Normal value,Units,"Constitution of Kenya 2010; The Access to Information Act, 2016","Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information [16.10.2]",,Boolean or binary measure,2023,,1
2019,Normal value,Units,"Constitution of Kenya 2010; The Access to Information Act, 2016","Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information [16.10.2]",,Boolean or binary measure,2023,,1
2020,Normal value,Units,"Constitution of Kenya 2010; The Access to Information Act, 2016","Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information [16.10.2]",,Boolean or binary measure,2023,,1
2021,Normal value,Units,"Constitution of Kenya 2010; The Access to Information Act, 2016","Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information [16.10.2]",,Boolean or binary measure,2023,,1
2022,Normal value,Units,"Constitution of Kenya 2010; The Access to Information Act, 2016","Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information [16.10.2]",,Boolean or binary measure,2023,,1
2023,Normal value,Units,"Constitution of Kenya 2010; The Access to Information Act, 2016","Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information [16.10.2]",,Boolean or binary measure,2023,,1
