Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2016,VC_SNS_WALN,,,PT,,70.4
2024,VC_SNS_WALN,,,PT,,61.0
2024,VC_SNS_WALN,,R,PT,,65.0
2024,VC_SNS_WALN,,U,PT,,53.0
